ENSEMBL,Gene,TA003_ntCtrl_O2,TA003_ntCtrl_RA,TA012_ntCtrl_O2,TA012_ntCtrl_RA,TA020_ntCtrl_O2,TA020_ntCtrl_RA,TA034_ntCtrl_O2,TA034_ntCtrl_RA,TA039_ntCtrl_O2,TA039_ntCtrl_RA
ENSG00000170175.11,CHRNB1,223.1078972,275.2978635,272.9942747,299.5211103,180.3268727,224.1598656,198.9106182,248.5239872,241.4585732,317.9628226
ENSG00000174282.12,ZBTB4,4223.947359,4640.082661,5994.655101,5084.999613,4288.695032,4528.899809,4209.709022,4217.163408,3710.030141,4224.569685
ENSG00000181222.19,POLR2A,10081.73101,9929.000122,10323.2972,11550.99732,12822.18974,13907.70506,8971.344095,9428.422765,9151.15217,11657.67331
ENSG00000239697.12,TNFSF12,23.34051848,21.13282354,97.23083757,105.1753517,9.490888038,9.793392186,8.146509961,14.08067916,24.27361318,23.12456892
ENSG00000161955.17,TNFSF13,480.5400863,452.9278127,529.1601352,512.1582344,166.0905407,127.3140984,221.3135206,202.0577459,511.0234354,303.5099671
ENSG00000161956.14,SENP3,296.5618819,313.5654088,323.4795173,293.8050586,234.8994789,226.336175,319.0716401,307.6628396,209.5196085,251.479687
ENSG00000161960.16,EIF4A1,113.956649,138.2200891,211.2900893,166.9087103,86.60435335,96.84576717,99.79474702,73.21953163,106.0373629,199.4494069
ENSG00000233223.5,lncRNA*10300,111.8971915,138.2200891,86.01189477,62.87656896,129.3133495,199.1323078,106.5835053,130.2462822,132.8660932,76.60013455
ENSG00000129255.16,MPDU1,1867.927964,2076.728281,1935.267632,1770.832824,1514.983003,2143.664734,2310.893326,2707.010568,1944.444172,2101.445201
ENSG00000129194.8,SOX15,453.7671387,363.256102,564.6867874,546.4545447,510.135232,893.3749983,466.3876953,516.7609252,420.3167757,534.7556563
ENSG00000129245.13,FXR2,1561.755281,1740.316577,2008.190761,1872.578545,1444.987704,1659.435898,1781.370178,1984.671728,1421.922709,1702.546387
ENSG00000141504.12,SAT2,593.1237637,663.6848908,673.1365678,552.1705965,605.0441124,669.2151327,492.1849768,542.1061477,748.6493329,533.3103707
ENSG00000141510.18,TP53,1848.019875,1443.314732,1948.356399,2009.763786,2456.953641,2088.168845,1829.570362,1752.340521,1686.377337,1787.818235
ENSG00000141499.18,WRAP53,238.8970715,353.5464263,175.7634371,196.6321793,162.5314577,214.3664734,197.5528666,206.9859836,287.4506824,198.0041214
ENSG00000108947.5,EFNB3,69.3350696,86.24476636,11.2189428,16.00494483,77.11346531,78.34713749,10.86201328,10.56050937,63.87792943,24.56985448
ENSG00000183914.15,DNAH2,124.2539366,300.4287888,7.479295197,19.43457586,5.931805024,5.440773437,9.504261621,11.96857729,192.9113469,8.671713345
ENSG00000132510.11,KDM6B,3058.980893,2649.599147,3249.753763,3265.008744,2695.412203,2866.199447,3354.325477,2911.180416,2323.879073,3016.310958
ENSG00000288748.1,lncRNA*10302,9.610801727,14.85009222,18.69823799,5.716051723,11.86361005,16.32232031,6.109882471,4.928237706,12.77558589,13.00757002
ENSG00000167874.7,TMEM88,76.19992798,54.83110974,59.83436158,46.87162413,23.7272201,65.28928124,38.69592232,40.83396956,60.04525367,60.70199341
ENSG00000183011.14,NAA38,991.2855496,1031.510252,959.2196091,800.2472413,945.5297208,1095.77177,1125.576126,1177.848812,1097.422828,903.3034734
ENSG00000182224.12,CYB5D1,46.68103696,86.24476636,28.04735699,58.30372758,59.31805024,64.20112655,48.87905977,68.29129393,62.60037084,47.6944234
ENSG00000280046.1,TEC*774,13.04323092,19.99050876,16.82841419,11.43210345,10.67724904,14.14601094,12.89864077,4.224203748,16.60826165,7.226427787
ENSG00000170004.19,CHD3,6823.669226,7430.186527,7898.135729,7948.741526,10651.1491,11795.59681,9333.863788,8946.159504,7807.160535,5854.851793
ENSG00000179859.10,RNF227,129.7458233,167.9202736,95.36101377,100.6025103,206.4268148,239.3940312,162.2513234,99.26878808,189.0786711,93.94356124
