"ENSEMBL","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254505.11","CHMP4A",53.0711637766879,-0.0697827122636425,0.30856422732604,-0.226152956447241,0.821082458034444,0.999090242992625
"ENSG00000024862.18","CCDC28A",428.079294081085,-0.0427808470617805,0.189209471965985,-0.226103094191137,0.821121238088014,0.999090242992625
"ENSG00000122644.13","ARL4A",487.327967812447,-0.0421039055946329,0.186347233104398,-0.22594328283396,0.821245533303669,0.999090242992625
"ENSG00000166295.9","ANAPC16",2428.90592077922,0.0296950847865756,0.131433275583371,0.225932775811703,0.821253705424565,0.999090242992625
"ENSG00000162695.12","SLC30A7",1236.73241989207,-0.0329011820372209,0.145662488042102,-0.225872717673964,0.821300417638794,0.999090242992625
"ENSG00000160472.5","TMEM190",166.875221061577,0.150356885837389,0.665806844708948,0.225826584740377,0.821336299492655,0.999090242992625
"ENSG00000120693.15","SMAD9",471.849963197902,0.0372073477559619,0.16477362614345,0.225808878682864,0.821350071232247,0.999090242992625
"ENSG00000106153.13","CHCHD2",3435.70914789336,0.0239887306116229,0.106307951007748,0.225653212052546,0.821471150826063,0.999090242992625
"ENSG00000100983.12","GSS",1612.37914420256,-0.0254209680089495,0.112719730931362,-0.225523675392988,0.82157190942034,0.999090242992625
"ENSG00000263465.5","SRSF8",1767.63803342263,-0.0208853697019381,0.0926201937274487,-0.225494774534774,0.821594390020738,0.999090242992625
"ENSG00000107566.14","ERLIN1",1546.85844468244,-0.0241394365212613,0.107066321304709,-0.225462463145258,0.821619523684372,0.999090242992625
"ENSG00000148384.14","INPP5E",703.394971351424,0.0312248883015834,0.138551474029041,0.225366698697399,0.821694015874434,0.999090242992625
"ENSG00000120697.10","ALG5",900.019916393428,0.0239186339840641,0.106262182803827,0.225090745860368,0.821908680005694,0.999090242992625
"ENSG00000163798.14","SLC4A1AP",1070.46401052486,0.0244347909236406,0.108565535133392,0.225069501970568,0.821925206212818,0.999090242992625
"ENSG00000005075.16","POLR2J",1066.16360455133,0.0345832547967959,0.153690080870417,0.225019432620083,0.821964156852497,0.999090242992625
"ENSG00000186594.16","MIR22HG",1175.23596158473,0.0464495350616036,0.206628573160075,0.22479725021195,0.822137005348841,0.999090242992625
"ENSG00000267197.1","lncRNA*11524",14.6573493468999,0.125759325214733,0.559505879134548,0.22476855008076,0.82215933346425,0.999090242992625
"ENSG00000070770.10","CSNK2A2",1781.30284393087,-0.0194453286662289,0.0865265094986946,-0.224732614072711,0.822187291147033,0.999090242992625
"ENSG00000025770.19","NCAPH2",561.633346540629,-0.0341260390657098,0.15185774913788,-0.224723725061438,0.822194206701172,0.999090242992625
"ENSG00000020922.13","MRE11",665.461164664738,0.0351583489386146,0.15653200987365,0.224608046411681,0.82228420469262,0.999090242992625
"ENSG00000129460.17","NGDN",523.295275875306,0.0245060587224124,0.10911130376016,0.224596882979967,0.82229288996642,0.999090242992625
"ENSG00000050165.19","DKK3",3734.52750334888,-0.0595476096125871,0.265223133700086,-0.224518912742821,0.822353552283611,0.999090242992625
"ENSG00000168538.16","TRAPPC11",1022.3014483644,-0.024145058532857,0.107558018660977,-0.224484039715925,0.822380684500936,0.999090242992625
"ENSG00000093134.17","VNN3P",30.744687824135,-0.13821886222245,0.616197119722305,-0.224309490905669,0.822516491684178,0.999090242992625
"ENSG00000240463.1","RPS19P3",13.2143547407184,-0.12091629211675,0.539112388289455,-0.224287726906822,0.822533425471738,NA
